url,normalized_url,domain,source_files,source_file_count,citation_occurrence_count,in_current_source_register_exact,in_current_source_register_normalized,source_register_source_ids,inferred_source_class,source_class_basis,official_or_primary_inference,malformed_url,malformed_reason
http://airworks.io,http://airworks.io/,airworks.io,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://audette.io,http://audette.io/,audette.io,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://butlerplus.com,http://butlerplus.com/,butlerplus.com,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://closingtheory.com,http://closingtheory.com/,closingtheory.com,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://connect-homes.com,http://connect-homes.com/,connect-homes.com,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://meshpay.com,http://meshpay.com/,meshpay.com,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://rachio.com/,http://rachio.com/,rachio.com,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://siteline.com/,http://siteline.com/,siteline.com,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://sklut.io,http://sklut.io/,sklut.io,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://trustandwill.com,http://trustandwill.com/,trustandwill.com,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://workandsolutions.com,http://workandsolutions.com/,workandsolutions.com,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://www.airbnb.com/,http://airbnb.com/,airbnb.com,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://www.courbanize.com/,http://courbanize.com/,courbanize.com,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://www.crayonscrm.com.au,http://crayonscrm.com.au/,crayonscrm.com.au,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://www.curri.com,http://curri.com/,curri.com,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
http://www.ingenious.build/,http://ingenious.build/,ingenious.build,research/built_environment_ecosystem_discovery_index.csv,1,1,yes,yes,,company_or_product,conservative domain/path heuristic; not a claim-quality decision,likely first-party/company domain (heuristic),no,
